<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
AAAP,D,20170824,48.26,49.05,48.09,48.9,25600
AABA,D,20170824,66.06,66.2,65.34,65.5,4055700
AAL,D,20170824,44.13,44.15,42.67,42.92,7057400
AAME,D,20170824,3.4,3.4,3.305,3.4,1800
AAOI,D,20170824,64.79,64.9,61.72,62.39,2697100
AAON,D,20170824,31.9,32,31.45,31.8,74300
AAPC,D,20170824,10.6,10.6,10.6,10.6,0
AAPL,D,20170824,160.43,160.74,158.55,159.27,19818900
AAWW,D,20170824,63.3,63.45,62.5,63.25,162500
AAXJ,D,20170824,71.72,71.89,71.46,71.8,5299400
AAXN,D,20170824,21.81,22.09,21.75,21.85,495800
ABAC,D,20170824,2.17,2.2,2.06,2.14,5400
ABAX,D,20170824,46.17,46.62,45.97,46.05,85900
ABCB,D,20170824,44,44.9,43.65,44.4,215800
ABCD,D,20170824,5.15,5.19,5.12,5.16,21400
ABCO,D,20170824,51.5,51.65,50.7,51,320800
ABDC,D,20170824,10.52,10.7,10.41,10.43,49000
ABEO,D,20170824,8.85,9.7,8.85,9.6,855600
ABEOW,D,20170824,4.7,5.15,4.66,4.81,11500
ABIL,D,20170824,0.7,0.98,0.69,0.84,1226900
ABIO,D,20170824,1.15,1.2,1.1,1.15,50200
ABMD,D,20170824,153.31,153.81,148.76,148.93,518900
ABTL,D,20170824,7.95,7.99,7.7,7.75,77700
ABTX,D,20170824,35.4,35.7,35.25,35.6,27800
ABUS,D,20170824,3.7,3.85,3.7,3.8,97500
ABY,D,20170824,21.36,21.41,21.05,21.13,320300
ACAD,D,20170824,31.99,32.88,31.98,32.82,1013100
ACBI,D,20170824,17.45,17.55,17.375,17.5,84700
ACET,D,20170824,16.05,16.08,15.9,16.04,179500
ACFC,D,20170824,8.24,8.365,8.2,8.35,17000
ACGL,D,20170824,97.21,97.22,96.39,96.7,707600
ACGLP,D,20170824,24.62,24.69,24.61,24.62,48300
ACHC,D,20170824,47.52,47.95,45.52,45.55,1268300
ACHN,D,20170824,4.83,4.97,4.78,4.96,846700
ACHV,D,20170824,2.65,2.86,2.62,2.625,13800
ACIA,D,20170824,46.46,50.1,46.44,48.22,2245000
ACIU,D,20170824,8.07,8.08,7.57,7.9,18300
ACIW,D,20170824,21.83,22.01,21.73,21.95,283500
ACLS,D,20170824,20.3,20.45,19.95,20.1,170700
ACNB,D,20170824,26.35,26.6,26.25,26.45,4600
ACOR,D,20170824,22.65,23.05,22.35,23,462300
ACRS,D,20170824,25.81,26.43,25.6,25.82,355100
ACRX,D,20170824,3.05,3.05,2.95,2.975,728000
ACSF,D,20170824,11.5,11.6,11.4,11.55,58000
ACST,D,20170824,1.3,1.33,1.29,1.33,11500
ACTA,D,20170824,12.65,12.65,12.35,12.45,125100
ACTG,D,20170824,3.15,3.6,3.1,3.45,838800
ACTX,D,20170824,15.17,15.17,15.17,15.17,300
ACWI,D,20170824,67,67.05,66.74,66.79,4048500
ACWX,D,20170824,47.16,47.19,47.03,47.06,280100
ACXM,D,20170824,22.41,22.8,22.38,22.74,536500
ADAP,D,20170824,5.26,5.345,5.16,5.25,63300
ADBE,D,20170824,151.22,151.83,149.17,150.81,1449400
ADES,D,20170824,10.23,10.47,10.15,10.29,92000
ADHD,D,20170824,1.02,1.045,0.974,1.02,49700
ADI,D,20170824,79.35,79.44,78.83,79.27,1316800
ADMA,D,20170824,3.01,3.13,2.87,3.11,11800
ADMP,D,20170824,5.3,5.5,5.26,5.35,530600
ADMS,D,20170824,15.29,15.44,14.2,14.23,1939000
ADOM,D,20170824,12.7,13,12.27,12.87,79000
ADP,D,20170824,103.6,105.21,103.36,104.59,3041300
ADRA,D,20170824,32.65,32.65,32.65,32.65,1000
ADRD,D,20170824,22.16,22.16,22.04,22.065,3600
ADRE,D,20170824,42.64,42.67,42.39,42.54,4700
ADRO,D,20170824,11.3,11.625,11.1,11.3,507100
ADRU,D,20170824,21.68,21.68,21.68,21.68,0
ADSK,D,20170824,110.58,111.25,109.04,110.61,3128400
ADTN,D,20170824,21.85,22.15,21.65,22.05,308100
ADUS,D,20170824,33.1,33.1,31.95,32.05,40800
ADVM,D,20170824,2.5,2.75,2.45,2.7,592000
ADXS,D,20170824,6.24,6.45,6.15,6.37,354200
ADXSW,D,20170824,2.945,3,2.945,2.976,2100
AEGN,D,20170824,20.6,20.69,20.44,20.56,127300
AEHR,D,20170824,3.35,3.57,3.31,3.46,105600
AEIS,D,20170824,70.94,71.69,70.25,71.23,212400
AEMD,D,20170824,1.49,1.53,1.42,1.5,33800
AERI,D,20170824,52.2,53.2,51.65,52.85,198100
AETI,D,20170824,1.55,1.6,1.5,1.55,1100
AEY,D,20170824,1.35,1.38,1.32,1.33,12100
AEZS,D,20170824,1.85,1.85,1.8,1.81,168500
AFAM,D,20170824,48.4,48.75,46.95,47.05,158600
AFH,D,20170824,16.35,16.9,16.35,16.5,38300
AFHBL,D,20170824,25.72,25.72,25.64,25.71,800
AFMD,D,20170824,1.95,2.05,1.95,1.95,66500
AFSI,D,20170824,13.45,13.625,13.304,13.5,866500
AGEN,D,20170824,3.62,3.715,3.595,3.71,508600
AGFS,D,20170824,7.1,7.18,6.98,7,89000
